ID	Target	Tweet	Stance
0	Anti-vax	Amazon will open pop-up Covid vaccine clinic in Seattle https://t.co/RacAsraKkr	AGAINST
1	Anti-vax	New #Ontario #COVID19 Science Advisory Table evidence brief on the speed of vaccine rollout in #LTC homes: https://t.co/4dOIhUBzJ0  Bottom line: vaccinating all Ontario LTC residents by Jan 31 vs. Feb 15 would prevent a projected 600 #COVID19 cases and 115 deaths by Mar 31, 2021. https://t.co/BkISp9TaRh Ontario COVID19 LTC	AGAINST
2	Anti-vax	Biden:  -rendered 11,000 Americans jobless  -sent thousands of troops to live in a concrete garage  -took credit for Trump's vaccine plan  -passed a mask mandate, broke his own rules  -presided over the 2nd highest COVID death toll in history  And that's just day one on the job https://t.co/ulRBxJ2s2d	NONE
3	Anti-vax	Hope all the people who have taken covid-19's vaccine turn into zombies.	FAVOR
4	Anti-vax	Read: Yesterday I spent hours trying to find a place for a viewer to get a free vaccine in Cullman. There weren't any. https://t.co/ZopwETXuS1	AGAINST
5	Anti-vax	I know Biden has dementia but can someone remind him that TRUMP brought the vaccine...	NONE
6	Anti-vax	President Biden signed several executive orders to contain COVID-19 by expanding testing, administering vaccines, advancing an equitable response, and safely reopening schools and businesses.	AGAINST
7	Anti-vax	@Kang_Bear94 I strained my foot and I am having side effects of pain and fever from second shot of CV Vaccine.	AGAINST
8	Anti-vax	A trust deficit on the vaccine roll-out is apparent. Could it have been better to delay the roll-out of Covaxin?  Would that have improved the overall vaccine up-take?  Why so many glitches on an app like Co-WIN? Was it so tough to make it glitch-free before the vaccine roll-out? https://t.co/rgQE257ym2	NONE
9	Anti-vax	4/ On Tuesday, the Dallas County Commissioners Court voted to prioritize vaccines at its Fair Park distribution center for individuals in mostly Black and Latino neighborhoods.  https://t.co/rhU6NeQMPM via @dallasnews	AGAINST
10	Anti-vax	2/ In Texas and across the nation, communities of color have been hardest hit by the coronavirus, and health officials are grappling with how to ensure equity in the vaccine rollout.  https://t.co/WXLPoUHIXX	NONE
11	Anti-vax	We don't have a second to waste when it comes to getting this virus under control. That's why today, I'll be signing executive actions to expand testing, administer vaccines, and safely reopen schools and businesses.	AGAINST
12	Anti-vax	I love the repub hair on fire that Bezos has entered in to an agreement with Biden for administering vaccines and Jeff would not help trump. How about the fact Jeff hates trump? It's Jeff's money.	NONE
13	Anti-vax	COVID-19 vaccine: Private companies step in to fill logistics vacuum https://t.co/wcqaO42xDm	AGAINST
14	Anti-vax	Johnson County seniors to start getting COVID vaccines next week. Heres how it works https://t.co/54G9UrMYBz	AGAINST
15	Anti-vax	All the political posturing on vaccines is truly disgusting.  The fact remains that ANY vaccine available today involves using murdered children before they could even be born. I renew my pledge....I will not extend my life by USING murdered children. This is evil WAKE UP!	FAVOR
16	Anti-vax	The trump administration had NO vaccine rollout plan whatsoever.  Thank God we have competent leadership in place now, but DAMN.	NONE
17	Anti-vax	Put the vaccine in tarri poha and whole nagpur will be vaccinated by evening. . . #tarripoha #nagpur #vaccine tarripoha nagpur vaccine	NONE
18	Anti-vax	The deep state didnt get locked up. The whole country got locked up, Trump pushed mRNA vaccines like a Big Pharma salesman &amp; he called his supporters to meet at the Capitol  only for it to be an event that ruined thousands of lives before he exited.  Q was a psy-op hoax.	NONE
19	Anti-vax	"The whole world knows Pfizer is retooling its Belgian facility to churn out more COVID vaccine  and that this is going t mean delayed shipments. Except ON Premier Doug Ford, who said today ""I don't believe that crap."" He didn't say what he did believe."	NONE
20	Anti-vax	All the political posturing on vaccines is truly disgusting.  The fact remains that ANY vaccine available today involves using murdered children before they could even be born. I renew my pledge....I will not extend my life by USING murdered children. This is evil WAKE UP!	FAVOR
21	Anti-vax	@RealBillRussell did you get your vaccine appointment yet? My parents got theirs for this Saturday in Renton.	AGAINST
22	Anti-vax	Lol niggas aint seen Polio in 60 years and really got the nerve to ask if vaccines really work	AGAINST
23	Anti-vax	Drivethrough vaccine center hmmmm this is a good approach https://t.co/Rw1KsVelnG	AGAINST
